Verb,Model,ModelSize,Indices,Examples,Size,Coverage
выливать,NO_Acc,0.2,-  ,-  ,392,0.0
выливать,NO_Acc,0.2,98  ,"вода,воздух  ",317,0.4074074074074074
выливать,NO_Acc,0.2,22  ,"приложение,браузер  ",90,0.014084507042253521
выливать,NO_Acc,0.2,393  ,"осколок,обломок  ",60,0.14285714285714285
выливать,NO_Acc,0.2,77  ,"вино,пиво  ",83,0.375
выливать,NO_Acc,0.2,150  ,"волна,поток  ",29,0.16666666666666666
выливать,NO_Acc,0.2,592  ,"чай,кофе  ",40,0.6666666666666666
выливать,NO_Acc,0.2,36  ,"молоко,мясо  ",57,0.16071428571428567
выливать,NO_Acc,0.2,17  ,"чашка,стакан  ",161,0.4050632911392408
выливать,NO_Acc,0.2,237  ,"пыль,грязь  ",26,0.15384615384615385
выливать,NO_Acc,0.2,6  ,"удовольствие,радость  ",64,0.10426540284360186
выливать,NO_Acc,0.2,344  ,"дрянь,гадость  ",29,0.5
выливать,NO_Acc,0.2,161  ,"часть,половина  ",33,0.2857142857142857
выливать,NO_Acc,0.2,180  ,"цвет,оттенок  ",18,0.1764705882352941
выливать,NO_Acc,0.2,134  ,"пирожок,пирог  ",19,0.1
выливать,NO_Acc,0.2,147  ,"раствор,смесь  ",32,0.2631578947368421
выливать,NO_Acc,0.2,1  ,"животное,собака  ",15,0.004975124378109453
выливать,NO_Acc,0.2,104  ,"число,количество  ",34,0.16666666666666666
выливать,NO_Acc,0.2,85  ,"газ,топливо  ",19,0.1
выливать,NO_Acc,0.2,56  ,"салат,блюдо  ",23,0.14634146341463414
выливать,NO_Acc,0.2,53  ,"гнев,ярость  ",39,0.23809523809523808
выливать,NO_Acc,0.2,329  ,"вес,килограмм  ",11,0.2222222222222222
выливать,NO_Acc,0.2,739  ,"фарфор,керамика  ",10,0.5
выливать,NO_Acc,0.2,26  ,"боль,усталость  ",10,0.016129032258064516
выливать,NO_Acc,0.2,199  ,"алкоголь,спиртное  ",12,0.2
выливать,NO_Acc,0.2,192  ,"вещество,кислота  ",10,0.125
выливать,NO_Acc,0.2,4  ,"нога,рука  ",14,0.014705882352941176
выливать,NO_Acc,0.2,188  ,"металл,сталь  ",12,0.1875
выливать,NO_Acc,0.2,566  ,"возмущение,негодование  ",10,0.75
выливать,NO_Acc  на_Acc,0.144,-  4  ,"-  нога,рука  ",104,0.01715686274509804
выливать,NO_Acc  на_Acc,0.144,98  4  ,"вода,воздух  нога,рука  ",79,0.15413943355119825
выливать,NO_Acc  на_Acc,0.144,22  4  ,"приложение,браузер  нога,рука  ",40,0.026650096658381663
выливать,NO_Acc  на_Acc,0.144,393  4  ,"осколок,обломок  нога,рука  ",33,0.09103641456582633
выливать,NO_Acc  на_Acc,0.144,22  21  ,"приложение,браузер  гора,холм  ",16,0.009434598018734416
выливать,NO_Acc  на_Acc,0.144,56  4  ,"салат,блюдо  нога,рука  ",20,0.070779531324725
выливать,NO_Acc  на_Acc,0.144,98  0  ,"вода,воздух  дом,здание  ",27,0.08888888888888888
выливать,NO_Acc  на_Acc,0.144,17  4  ,"чашка,стакан  нога,рука  ",71,0.16129932985852577
выливать,NO_Acc  на_Acc,0.144,98  21  ,"вода,воздух  гора,холм  ",15,0.04421407052986
выливать,NO_Acc  на_Acc,0.144,22  0  ,"приложение,браузер  дом,здание  ",10,0.012597809076682316
выливать,NO_Acc  на_Acc,0.144,17  21  ,"чашка,стакан  гора,холм  ",10,0.02377203076736721
выливать,NO_Acc  на_Acc,0.144,592  4  ,"чай,кофе  нога,рука  ",16,0.3431372549019608
выливать,NO_Acc  на_Acc,0.144,-  -  ,-  -  ,34,0.0
выливать,NO_Acc  на_Acc,0.144,36  558  ,"молоко,мясо  сковородка,сковорода  ",20,0.29464285714285715
выливать,NO_Acc  на_Acc,0.144,77  4  ,"вино,пиво  нога,рука  ",17,0.08547794117647059
выливать,NO_Acc  на_Acc,0.144,77  21  ,"вино,пиво  гора,холм  ",14,0.11176734449760765
выливать,NO_Acc  на_Acc,0.144,-  0  ,"-  дом,здание  ",10,0.007407407407407408
выливать,NO_Acc  на_Acc,0.144,-  12  ,"-  отец,брат  ",15,0.017241379310344827
выливать,NO_Acc  на_Acc,0.144,161  4  ,"часть,половина  нога,рука  ",15,0.05987394957983193
выливать,NO_Acc  на_Acc,0.144,98  -  ,"вода,воздух  -  ",15,0.07407407407407407
выливать,NO_Acc  в_Acc,0.129,393  17  ,"осколок,обломок  чашка,стакан  ",93,0.16636528028933095
выливать,NO_Acc  в_Acc,0.129,393  0  ,"осколок,обломок  дом,здание  ",34,0.07698412698412697
выливать,NO_Acc  в_Acc,0.129,22  0  ,"приложение,браузер  дом,здание  ",38,0.01815336463223787
выливать,NO_Acc  в_Acc,0.129,22  4  ,"приложение,браузер  нога,рука  ",41,0.021748135874067938
выливать,NO_Acc  в_Acc,0.129,592  0  ,"чай,кофе  дом,здание  ",26,0.33518518518518514
выливать,NO_Acc  в_Acc,0.129,188  98  ,"металл,сталь  вода,воздух  ",17,0.08101851851851852
выливать,NO_Acc  в_Acc,0.129,22  17  ,"приложение,браузер  чашка,стакан  ",53,0.10830807630593693
выливать,NO_Acc  в_Acc,0.129,147  558  ,"раствор,смесь  сковородка,сковорода  ",12,0.2763157894736842
выливать,NO_Acc  в_Acc,0.129,98  0  ,"вода,воздух  дом,здание  ",26,0.08333333333333333
выливать,NO_Acc  в_Acc,0.129,36  0  ,"молоко,мясо  дом,здание  ",17,0.03048941798941799
