Verb,Model,ModelSize,Indices,Examples,Size,Coverage
жить,в_Loc,0.308,0  ,"дом,здание  ",28361,0.5888888888888882
жить,в_Loc,0.308,3  ,"страна,регион  ",45369,0.6968085106382983
жить,в_Loc,0.308,118  ,"ситуация,случай  ",10720,0.6363636363636364
жить,в_Loc,0.308,541  ,"нищета,бедность  ",2857,0.75
жить,в_Loc,0.308,21  ,"гора,холм  ",6071,0.5885167464114849
жить,в_Loc,0.308,216  ,"отель,гостиница  ",2055,0.7857142857142855
жить,в_Loc,0.308,14  ,"день,время  ",3059,0.43478260869565166
жить,в_Loc,0.308,161  ,"часть,половина  ",1025,0.5238095238095237
жить,в_Loc,0.308,346  ,"душа,сердце  ",994,0.625
жить,в_Loc,0.308,7  ,"луч,свет  ",2011,0.4353741496598642
жить,в_Loc,0.308,297  ,"начало,конец  ",1156,0.5
жить,в_Loc,0.308,35  ,"храм,церковь  ",1279,0.5178571428571427
жить,в_Loc,0.308,674  ,"миграция,иммиграция  ",455,0.6666666666666666
жить,в_Loc,0.308,395  ,"благо,благополучие  ",446,0.9999999999999998
жить,в_Loc,0.308,122  ,"музей,галерея  ",606,0.6666666666666667
жить,в_Loc,0.308,164  ,"тюрьма,колония  ",1214,0.8333333333333336
жить,в_Loc,0.308,105  ,"больница,госпиталь  ",518,0.7200000000000001
жить,в_Loc,0.308,548  ,"рай,ад  ",538,1.0
жить,в_Loc,0.308,266  ,"окоп,блиндаж  ",249,0.4545454545454546
жить,в_Loc,0.308,436  ,"перспектива,будущее  ",483,0.6666666666666666
жить,в_Loc,0.308,238  ,"мысль,воспоминание  ",305,0.6153846153846154
жить,в_Loc,0.308,451  ,"контекст,рамка  ",228,0.5
жить,в_Loc,0.308,763  ,"манер,лад  ",192,0.5
жить,в_Loc,0.308,203  ,"школа,класс  ",320,0.6
жить,в_Loc,0.308,498  ,"граница,предел  ",239,0.4
жить,в_Loc,0.308,174  ,"сущность,смысл  ",253,0.5294117647058824
жить,в_Loc,0.308,265  ,"нора,гнездо  ",401,0.7272727272727274
жить,в_Loc,0.308,145  ,"высота,расстояние  ",288,0.41379310344827597
жить,в_Loc,0.308,311  ,"местоположение,расположение  ",220,0.5555555555555556
жить,в_Loc,0.308,643  ,"незнание,невежество  ",126,1.0
жить,в_Loc,0.308,198  ,"усилие,сила  ",215,0.4799999999999999
жить,в_Loc,0.308,50  ,"шкаф,ящик  ",260,0.4130434782608694
жить,в_Loc,0.308,445  ,"колхоз,совхоз  ",176,0.8333333333333333
жить,в_Loc,0.308,446  ,"бассейн,баня  ",117,0.8333333333333333
жить,в_Loc,0.308,143  ,"сеть,интернет  ",175,0.5263157894736842
жить,в_Loc,0.308,407  ,"губерния,уезд  ",120,0.5714285714285714
жить,в_Loc,0.308,317  ,"идея,концепция  ",67,0.4444444444444444
жить,в_Loc,0.308,117  ,"отношение,связь  ",128,0.40909090909090917
